id,date,product,state,county,amount,severity
C00000,2023-11-28,Health,MA,,1634.24,Medium
C00001,2024-07-02,Auto,CT,Middlesex,6676.54,High
C00002,2023-03-30,Health,NY,,1996.12,Low
C00003,2024-03-10,Home,CT,New Haven,11743.34,Medium
C00004,2023-03-05,Auto,NY,,1683.51,High
C00005,2023-05-17,Health,RI,,2532.29,Low
C00006,2023-11-12,Auto,MA,,12850.49,Low
C00007,2024-01-17,Auto,CT,New Haven,10029.01,Medium
C00008,2024-06-28,Life,NY,,18484.14,Low
C00009,2024-01-06,Home,RI,,14040.09,Medium
C00010,2023-09-07,Health,CT,Litchfield,14643.02,Medium
C00011,2023-10-22,Health,CT,New Haven,6972.7,Low
C00012,2024-05-15,Auto,NY,,2605.33,High
C00013,2024-07-25,Life,RI,,11968.52,Medium
C00014,2024-08-16,Auto,NY,,18904.69,Medium
C00015,2024-04-30,Life,CT,Hartford,19863.3,Medium
C00016,2024-04-01,Health,RI,,7070.7,Medium
C00017,2024-04-17,Home,RI,,9975.12,Medium
C00018,2023-08-12,Home,RI,,8078.37,Medium
C00019,2024-05-23,Health,CT,Fairfield,5701.21,Low
C00020,2023-05-21,Life,NY,,19732.05,Medium
C00021,2024-01-25,Home,MA,,3195.71,Low
C00022,2023-08-27,Home,CT,Windham,281.05,Low
C00023,2024-03-05,Life,RI,,20807.66,High
C00024,2024-06-11,Health,CT,Windham,8003.58,Low
C00025,2024-05-08,Auto,NY,,19696.42,Low
C00026,2024-03-27,Auto,MA,,1241.0,Low
C00027,2023-01-01,Auto,MA,,18528.0,High
C00028,2023-03-14,Health,MA,,5194.7,Low
C00029,2023-12-22,Health,RI,,17008.95,Low
C00030,2024-04-22,Health,NY,,3053.53,Low
C00031,2023-12-17,Health,RI,,3396.48,Medium
C00032,2023-01-24,Life,MA,,10954.81,Low
C00033,2023-01-28,Auto,RI,,5370.08,Medium
C00034,2024-01-11,Life,MA,,10745.33,Medium
C00035,2024-05-29,Home,RI,,15810.31,Medium
C00036,2023-07-19,Health,MA,,4689.44,Medium
C00037,2024-06-14,Life,NY,,19794.15,Medium
C00038,2023-10-14,Life,NY,,12181.75,Low
C00039,2023-12-19,Life,NY,,11129.69,High
C00040,2023-08-14,Health,CT,Tolland,4246.59,Low
C00041,2023-01-02,Life,NY,,1878.61,Medium
C00042,2023-05-03,Home,NY,,3734.73,Low
C00043,2023-12-07,Health,CT,New London,18946.58,Low
C00044,2023-06-12,Home,MA,,11898.08,Low
C00045,2024-04-21,Health,MA,,7138.07,Medium
C00046,2024-07-15,Auto,MA,,19423.63,Low
C00047,2023-04-16,Health,MA,,6085.72,High
C00048,2023-08-05,Home,CT,Litchfield,4962.68,Low
C00049,2024-08-23,Life,RI,,16717.06,Low
C00050,2023-03-04,Health,RI,,16337.93,Medium
C00051,2024-06-13,Home,NY,,10565.43,Low
C00052,2023-01-20,Home,NY,,15565.57,Medium
C00053,2023-06-03,Home,MA,,14558.83,Low
C00054,2024-07-23,Health,CT,Middlesex,2300.97,Medium
C00055,2024-07-27,Home,CT,Tolland,15490.77,Low
C00056,2024-06-03,Auto,NY,,18267.26,Medium
C00057,2024-03-29,Home,RI,,9156.45,Medium
C00058,2024-06-30,Home,NY,,17555.4,Medium
C00059,2023-09-23,Health,MA,,2608.11,Low
C00060,2024-03-28,Auto,RI,,8681.11,Medium
C00061,2023-08-06,Auto,RI,,3258.04,Medium
C00062,2024-01-10,Life,MA,,19357.39,Medium
C00063,2023-08-13,Health,CT,New London,13423.09,Low
C00064,2023-08-18,Health,MA,,12293.15,High
C00065,2024-03-07,Life,MA,,14498.59,Low
C00066,2023-01-20,Health,RI,,558.02,Low
C00067,2023-12-06,Auto,RI,,18387.25,Low
C00068,2023-08-23,Life,CT,New Haven,18136.79,Low
C00069,2023-07-05,Home,RI,,17021.84,Medium
C00070,2023-09-22,Home,NY,,10392.7,Low
C00071,2024-05-21,Auto,RI,,16031.83,Low
C00072,2023-07-07,Auto,NY,,533.27,Low
C00073,2023-04-01,Auto,RI,,4603.68,Medium
C00074,2023-09-28,Auto,CT,Windham,11150.67,Low
C00075,2023-10-02,Auto,MA,,4921.04,Low
C00076,2023-04-23,Life,MA,,4195.01,Low
C00077,2023-11-16,Home,RI,,10101.75,Low
C00078,2023-07-02,Life,RI,,19891.08,Medium
C00079,2023-02-07,Home,CT,Hartford,5064.45,Low
C00080,2024-04-02,Health,CT,New London,17796.77,Low
C00081,2024-06-02,Home,RI,,10478.33,High
C00082,2023-05-24,Life,NY,,25158.55,High
C00083,2023-01-15,Health,CT,Litchfield,1872.8,Low
C00084,2024-01-26,Home,RI,,1095.7,Medium
C00085,2023-07-09,Life,MA,,5412.21,Low
C00086,2023-12-03,Home,RI,,17671.29,Low
C00087,2023-08-12,Home,RI,,7756.21,Low
C00088,2024-05-01,Home,RI,,15569.51,Low
C00089,2023-04-04,Auto,RI,,11818.65,Low
C00090,2024-02-08,Life,CT,Litchfield,1872.76,Medium
C00091,2024-06-25,Health,MA,,14469.41,Medium
C00092,2024-05-21,Life,MA,,12935.75,Medium
C00093,2023-02-14,Home,NY,,22660.15,High
C00094,2024-08-05,Auto,CT,Tolland,2835.25,Low
C00095,2024-01-05,Health,CT,New London,12629.79,Low
C00096,2024-06-28,Health,MA,,9247.58,Low
C00097,2023-03-13,Health,CT,New Haven,1674.11,Low
C00098,2023-09-29,Home,MA,,13068.66,Low
C00099,2024-04-16,Health,NY,,18227.24,Low
C00100,2023-10-22,Auto,CT,Tolland,6769.1,Low
C00101,2023-11-08,Auto,MA,,9818.8,Low
C00102,2023-04-12,Health,MA,,10427.41,Low
C00103,2024-04-20,Health,NY,,19867.35,Medium
C00104,2024-07-16,Life,MA,,28106.75,High
C00105,2023-01-18,Health,RI,,10231.05,Low
C00106,2024-04-05,Health,RI,,18922.63,Low
C00107,2023-08-04,Home,CT,New Haven,5383.82,Medium
C00108,2024-01-04,Life,MA,,14126.07,Medium
C00109,2023-08-25,Health,NY,,3349.49,Low
C00110,2024-05-18,Health,NY,,2986.0,Low
C00111,2023-12-19,Life,NY,,6760.22,Low
C00112,2023-11-29,Health,RI,,18542.7,Low
C00113,2023-01-13,Life,RI,,7979.41,Low
C00114,2023-03-20,Health,RI,,17114.25,Medium
C00115,2023-10-15,Life,CT,Hartford,3148.5,Medium
C00116,2023-09-30,Life,NY,,7592.32,Low
C00117,2024-03-14,Home,CT,New London,1179.63,Medium
C00118,2024-02-25,Home,NY,,5866.92,Medium
C00119,2023-02-20,Home,MA,,7004.52,Low
C00120,2023-11-01,Life,RI,,4925.57,Low
C00121,2024-05-09,Auto,NY,,3400.81,Low
C00122,2023-08-01,Home,NY,,6790.12,Low
C00123,2024-04-05,Home,NY,,5032.9,Low
C00124,2023-06-28,Auto,RI,,7492.45,Low
C00125,2024-08-06,Auto,MA,,8373.08,Medium
C00126,2024-02-28,Health,MA,,15091.8,Low
C00127,2024-05-25,Life,RI,,10167.24,Low
C00128,2023-08-10,Home,CT,Litchfield,12986.68,Low
C00129,2024-03-18,Auto,RI,,8618.96,Low
C00130,2024-04-29,Auto,NY,,18618.72,Low
C00131,2024-06-24,Health,NY,,2359.11,Low
C00132,2023-06-08,Auto,MA,,21735.54,High
C00133,2024-04-13,Auto,CT,Hartford,4805.02,Medium
C00134,2023-02-08,Home,RI,,10659.41,Medium
C00135,2024-03-23,Auto,CT,New Haven,18882.1,Low
C00136,2023-07-16,Life,NY,,12101.01,Low
C00137,2023-01-11,Health,RI,,6463.87,Low
C00138,2023-09-06,Home,NY,,779.76,Low
C00139,2024-02-26,Auto,RI,,10066.54,Low
C00140,2024-03-06,Home,CT,Litchfield,18518.18,Medium
C00141,2023-08-21,Auto,NY,,14422.98,Medium
C00142,2024-01-07,Home,NY,,5983.8,Low
C00143,2024-05-31,Health,CT,Tolland,9557.96,High
C00144,2023-07-18,Health,MA,,15257.32,Low
C00145,2023-10-30,Home,CT,Windham,9804.04,Medium
C00146,2023-02-27,Health,MA,,667.85,Low
C00147,2023-05-26,Auto,NY,,3845.28,Medium
C00148,2024-04-05,Auto,RI,,27968.39,High
C00149,2023-12-04,Home,MA,,10590.99,Medium
C00150,2024-04-23,Health,CT,Litchfield,19702.66,Medium
C00151,2024-03-29,Auto,MA,,5740.17,Low
C00152,2023-12-26,Auto,NY,,15224.34,Low
C00153,2024-01-25,Life,RI,,8762.5,Medium
C00154,2023-02-20,Home,NY,,18406.23,Low
C00155,2023-07-17,Life,RI,,9595.78,Medium
C00156,2024-02-25,Health,MA,,890.12,Low
C00157,2023-03-06,Home,CT,Litchfield,17991.33,Medium
C00158,2023-12-14,Life,RI,,19084.5,Low
C00159,2023-02-14,Life,RI,,9132.95,High
C00160,2023-03-08,Auto,CT,Tolland,19144.2,Low
C00161,2024-01-31,Health,RI,,2827.6,Medium
C00162,2024-05-23,Auto,MA,,14822.06,Medium
C00163,2023-06-04,Life,MA,,9323.47,Medium
C00164,2023-03-22,Health,MA,,5096.69,Medium
C00165,2023-03-08,Life,CT,Windham,8645.77,Low
C00166,2023-04-18,Auto,CT,Litchfield,8536.99,Low
C00167,2024-04-02,Home,MA,,9326.29,Low
C00168,2023-08-29,Life,CT,Litchfield,5499.78,Low
C00169,2023-09-18,Home,RI,,3877.58,Low
C00170,2023-08-30,Life,MA,,11649.96,Medium
C00171,2023-12-01,Life,CT,New London,15367.54,High
C00172,2023-08-25,Auto,CT,Windham,9600.3,Low
C00173,2023-08-25,Life,NY,,6014.81,Low
C00174,2023-05-03,Home,CT,Tolland,11355.44,High
